02/09/21 11:09:34:268 | [INFO] |  |  |  | AGSHelper |  |  | 29040 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ekptli
02/09/21 11:09:34:268 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 29040 | Sandbox for SLCachePath
02/09/21 11:09:35:292 | [INFO] |  |  |  | AGSHelper |  |  | 31064 | AGSHelper Started 7.2.0.32
02/09/21 11:09:35:292 | [INFO] |  |  |  | AGSHelper |  |  | 31064 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_hmrgvb
02/09/21 11:09:35:292 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 31064 | Sandbox for SLCachePath
02/09/21 11:09:35:316 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 9776 | *********** AGM Service Launched = 7.2.0.32 ************
02/09/21 11:09:35:316 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 9776 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_hmrgvb
02/09/21 11:09:35:316 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 9776 | Sandbox for SLCachePath
02/09/21 11:09:36:317 | [INFO] |  |  |  | AGSHelper |  |  | 26880 | AGSHelper Started 7.2.0.32
02/09/21 11:09:36:317 | [INFO] |  |  |  | AGSHelper |  |  | 26880 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_kwlloc
02/09/21 11:09:36:317 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 26880 | Sandbox for SLCachePath
02/09/21 11:09:36:343 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 5644 | *********** AGM Service Launched = 7.2.0.32 ************
02/09/21 11:09:36:343 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 5644 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_kwlloc
02/09/21 11:09:36:343 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 5644 | Sandbox for SLCachePath
02/09/21 11:09:37:342 | [INFO] |  |  |  | AGSHelper |  |  | 6216 | AGSHelper Started 7.2.0.32
02/09/21 11:09:37:342 | [INFO] |  |  |  | AGSHelper |  |  | 6216 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ohnrgd
02/09/21 11:09:37:343 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 6216 | Sandbox for SLCachePath
02/09/21 11:09:37:368 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 12740 | *********** AGM Service Launched = 7.2.0.32 ************
02/09/21 11:09:37:368 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 12740 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ohnrgd
02/09/21 11:09:37:368 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 12740 | Sandbox for SLCachePath
02/09/21 11:09:38:369 | [INFO] |  |  |  | AGSHelper |  |  | 29956 | AGSHelper Started 7.2.0.32
02/09/21 11:09:38:369 | [INFO] |  |  |  | AGSHelper |  |  | 29956 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_rjherd
02/09/21 11:09:38:369 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 29956 | Sandbox for SLCachePath
02/09/21 11:09:38:394 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 30432 | *********** AGM Service Launched = 7.2.0.32 ************
02/09/21 11:09:38:394 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 30432 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_rjherd
02/09/21 11:09:38:394 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 30432 | Sandbox for SLCachePath
02/09/21 11:09:39:395 | [INFO] |  |  |  | AGSHelper |  |  | 27724 | AGSHelper Started 7.2.0.32
